Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
Escorial 9            ;Mon ;100.24100590 ; +9.9702707 ;Op   ;OC    ;   61.1;    750;   -2.05;   -3.72;        ; Alessi (Gaia DR2)   ;poss matches: NGC 2264, NGC 2264 IRS 1, NGC 2264 IRS 2, Theia 189
Theia 294             ;Mon ;103.69611100 ; -1.7916803 ;Op   ;Str   ; 1315.0;    870;   -1.20;   -1.84;   29.13; 2019AJ....158..122K ;contains NGC 2301, NGC 2323, ASCC 29
Theia 379             ;Mon ;104.48631120 ; +0.4480943 ;Op   ;Str   ; 3859.2;    341;   -8.62;   -5.53;   18.53; 2019AJ....158..122K ;many condensations
CMa OB1A              ;Mon ;105.99557200 ;-10.9392764 ;Op   ;OC    ;   72.1;   1309;   -3.54;    1.22;        ; Alessi (Gaia DR2)   ;Contains FSR 1184 and others
Escorial 16           ;Mon ;108.12673670 ; -9.7843559 ;Op   ;OC    ;  111.8;    672;   -4.74;    2.16;        ; Alessi (Gaia DR2)   ;poss matches: Theia 265, Alessi 21
Theia 75              ;Mus ;198.57398200 ;-67.3246024 ;Op   ;Str   ; 4057.4;    349;  -13.39;   -5.98;    5.10; 2019AJ....158..122K ;larger than 1 radian
Nor OB1               ;Nor ;239.16635560 ;-54.6044978 ;Op   ;OC    ;  139.3;   1344;   -2.53;   -3.30;        ; Alessi (Gaia DR2)   ;poss matches: Theia 357, UPK 621
Theia 405             ;Nor ;241.04177560 ;-57.7174948 ;Op   ;Str   ; 1020.5;    687;   -2.74;   -5.16;   -9.75; 2019AJ....158..122K ;5+ condensations
RCW 103A              ;Nor ;244.38966700 ;-51.8297237 ;Op   ;OC    ;   56.9;   3378;   -2.88;   -3.81;        ; Alessi (Gaia DR2)   ;poss matches: UBC 540, UBC 666, FoF 2155
Theia 435             ;Oph ;274.73647900 ; +9.1208824 ;Op   ;Str   ; 4080.3;    230;   -7.40;  -11.62;  -20.15; 2019AJ....158..122K ;larger than 1 radian
FoF 2376              ;Ori ; 81.21590520 ; -0.0270676 ;Op   ;OC:   ;  222.2;    350;    1.35;   -0.55;        ; arXiv:1910.12600v1  ;check - many poss IDs
Orion X               ;Ori ; 81.72432630 ; -0.3388163 ;Op   ;OC    ;  966.4;    379;    0.36;   -0.78;        ; Alessi (Gaia DR2)   ;check - many poss IDs
HD 35762 Cl           ;Ori ; 81.78333300 ; +3.8555560 ;Op   ;OC    ;   60.0;    350;        ;        ;        ; Alessi              ;check  
Escorial 3            ;Ori ; 81.81518550 ; +1.5729560 ;Op   ;OC    ;  201.9;    387;    0.77;   -0.66;        ; Alessi (Gaia DR2)   ;check - many poss IDs
FoF 2371              ;Ori ; 81.98835520 ; +1.9400741 ;Op   ;OC    ;  172.9;    374;   -0.29;    0.52;        ; arXiv:1910.12600v1  ;check - many poss IDs
Tau-Ori R1            ;Ori ; 82.32916700 ; +2.4441670 ;Op   ;YAs?  ; 1140.0;    360;        ;        ;        ; Alessi              ;check - missing PMs
Collinder 70          ;Ori ; 82.91000000 ; -2.0100000 ;Op   ;OB    ;  444.0;    368;    0.90;   -0.60;   21.10; 2012AstL...38..331A ;check - many poss IDs
Ori Mol Cld           ;Ori ; 82.95000000 ; -1.5200000 ;Op   ;YAs   ;  600.0;    367;    0.70;   -0.80;   20.80; 2012AstL...38..331A ;check - many poss IDs
Ori OB1B              ;Ori ; 83.05259140 ; +0.0690844 ;Op   ;OC    ;  518.6;    360;    0.94;   -0.69;        ; Alessi (Gaia DR2)   ;check - many poss IDs
Theia 13              ;Ori ; 83.16277200 ; -1.7698400 ;Op   ;Str   ; 1831.0;    378;    0.72;   -0.55;   23.27; 2019AJ....158..122K ;many condensations
UPK 411               ;Ori ; 83.68080660 ; -5.5746506 ;Op   ;Asc   ;  589.2;    374;    1.15;   -0.46;        ; 2019arXiv190706872S ;many possible matches
Escorial 5            ;Ori ; 83.80038040 ; -5.8918688 ;Op   ;OC    ;  238.0;    387;    1.11;   -0.17;        ; Alessi (Gaia DR2)   ;poss matches: Ori Y, LDN 1641N, Ori DS, Zeta Ori
Ori OB1C              ;Ori ; 83.91018720 ; -5.5459933 ;Op   ;OC    ;  276.2;    416;    1.13;    0.17;        ; Alessi (Gaia DR2)   ;poss matches: LDN 1641N, Ori DS, Ori Y
Escorial 6            ;Ori ; 84.02779060 ; -0.9511265 ;Op   ;OC    ;  205.1;    377;    0.27;   -0.69;        ; Alessi (Gaia DR2)   ;Alnilam, Epsilon Ori, check - many poss IDs
Theia 55              ;Ori ; 90.09565120 ; +6.8499011 ;Op   ;Str   ; 3335.4;    296;   -3.51;   -4.47;   22.09; 2019AJ....158..122K ;many condensations
