Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;E(B-V);   Age;    pmRA;    pmDe;   RV   ; Reference           ;Aliases
Archinal_1            ;Ser ;283.70900000 ; +5.5500000 ;Op   ;OC    ;    4.8;   1901;  1.52;  8.00;   -0.23;   -1.58;        ; 2020A&A...633A..99C ;
Arp-Madore_2          ;Pup ;114.68300000 ;-33.8450000 ;Op   ;OC    ;    3.1;  25641;  0.57;  9.34;   -0.51;    1.23;        ; 2020A&A...633A..99C ;ESO 368-7
Arp_2                 ;Sgr ;292.18400000 ;-30.3560000 ;Op   ;GC    ;   13.2;  29560;  0.10; 10.10;   -2.38;   -1.51;        ; 2019MNRAS.484.2832V ;ESO 460-6
Auner_1               ;CMa ;106.06000000 ;-19.7480000 ;Op   ;OC    ;    3.1;  10753;  0.40;  9.35;   -0.28;    1.01;        ; 2020A&A...633A..99C ;ESO 558-8
Aur_OB1               ;Aur ; 82.86374600 ;+34.2090986 ;Op   ;OB    ;  932.9;   1553;      ;      ;   -0.07;   -3.26;        ; Alessi (Gaia DR2)   ;
Aur_OB2               ;Aur ; 82.03986160 ;+34.5600900 ;Op   ;OB    ;  326.5;   3030;      ;      ;    0.10;   -2.12;        ; Alessi (Gaia DR2)   ;
Aveni-Hunter_1        ;And ;354.17500000 ;+48.2050000 ;Op   ;EC    ;   59.5;    426;  0.10;  7.45;   -0.18;   -2.09;        ; 2020A&A...633A..99C ;And I, And T1, BM And, Theia 33, UPK 202
Azatyan-Nikoghosyan_13;Ser ;283.56000000 ; +4.6950000 ;IR   ;EC    ;    2.2;   1880;  1.81;      ;   -0.45;   -3.69;        ; 2014ApJ...783..130R ;IRAS 18517+0437
Azatyan-Nikoghosyan_3 ;Ser ;274.49166670 ;-12.1233333 ;IR   ;EC    ;    1.5;   2000;  0.90;      ;   -0.32;   -1.99;        ; 2019ApJ...885..131R ;Bica 52, IRAS 18151-1208, VVVX CL 96, in NGC 6604
Azatyan-Nikoghosyan_5 ;Aql ;283.32500000 ; +1.4238889 ;IR   ;EC    ;    1.5;   2941;  1.71;      ;    0.12;   -4.18;        ; 2019ApJ...885..131R ;IRAS 18507+0121, G3CC 61
Azatyan-Nikoghosyan_7 ;Sge ;290.90541670 ;+17.4836111 ;IR   ;EC    ;    0.5;   6061;  0.16;      ;   -2.77;   -5.85;        ; 2019ApJ...885..131R ;IRAS 19213+1723, Mol 103 Cl
BBD_9                 ;Gem ; 96.22916700 ;+19.9997220 ;Op   ;OC    ;    1.4;   4168;      ;      ;   -0.20;   -0.87;        ; Alessi (Gaia DR2)   ;
BBJ_1b                ;CMa ; 95.38328920 ;-16.0440797 ;Op   ;OC    ;  110.0;    377;      ;  7.53;   -5.38;    4.97;        ; arXiv:1910.12600v1  ;FoF 2383
