TODO: get all the true references behind 'BDCC' and padronize them all to bibcode format

Name                     ; Reference           ;E(B-V);  log_t
ASCC 87                  ; Kharchenko+ 2013    ; 0.260;  8.550
ASCC 88                  ; 2016DAML            ; 0.50 ;  7.17 
ASCC 88                  ; Kharchenko+ 2013    ; 0.729;  7.000
ASCC 89                  ; Kharchenko+ 2013    ; 0.250;  7.000
ASCC 9                   ; 2016DAML            ; 0.90 ;  6.79 
ASCC 9                   ; Kharchenko+ 2013    ; 0.899;  7.000
ASCC 90                  ; 2016DAML            ; 0.30 ;  8.81 
ASCC 90                  ; Kharchenko+ 2013    ; 0.300;  8.810
ASCC 91                  ; 2016DAML            ; 0.10 ;  8.65 
ASCC 91                  ; Kharchenko+ 2013    ; 0.104;  8.650
ASCC 92                  ; 2016DAML            ; 0.25 ;  9.01 
ASCC 92                  ; Kharchenko+ 2013    ; 0.312;  9.080
ASCC 93                  ; 2016DAML            ; 0.28 ;  7.22 
ASCC 93                  ; Kharchenko+ 2013    ; 0.583;  6.100
ASCC 94                  ; 2016DAML            ; 0.20 ;  8.78 
ASCC 94                  ; Kharchenko+ 2013    ; 0.250;  8.840
ASCC 95                  ; 2016DAML            ; 0.32 ;  8.04 
ASCC 95                  ; Kharchenko+ 2013    ; 0.250;  8.410
ASCC 96                  ; Kharchenko+ 2013    ; 0.150;  8.400
ASCC 97                  ; 2016DAML            ; 0.40 ;  7.88 
ASCC 97                  ; 2017AstBu..72..257L ; 0.394;  8.485
ASCC 97                  ; Kharchenko+ 2013    ; 0.437;  7.880
ASCC 98                  ; 2016DAML            ; 0.04 ;  8.33 
ASCC 98                  ; Kharchenko+ 2013    ; 0.040;  8.045
ASCC 99                  ; 2016DAML            ; 0.15 ;  8.71 
ASCC 99                  ; Kharchenko+ 2013    ; 0.125;  8.750
Achernar Subgr           ; 2020Alessi          ;      ;  7.57 
Achernar Subgr           ; BDCC                ;      ;  7.65 
Aladin J1410-8843        ; BDCC                ; 0.35 ;       
Alessi 1                 ; 2016DAML            ; 0.09 ;  8.20 
Alessi 1                 ; 2017AstBu..72..257L ; 0.082;  8.334
Alessi 1                 ; 2019 Bossini        ; 0.104;  8.935
Alessi 1                 ; Kharchenko+ 2013    ; 0.100;  8.840
Alessi 10                ; 2016DAML            ; 0.22 ;  8.35 
Alessi 10                ; 2017AstBu..72..257L ; 0.241;  8.290
Alessi 10                ; 2019 Bossini        ; 0.136;  7.746
Alessi 10                ; Kharchenko+ 2013    ; 0.221;  8.195
Alessi 106               ; 2020Alessi          ; 0.02 ;  8.75 
Alessi 109               ; 2020Alessi          ; 0.09 ;  8.50 
Alessi 11                ; Kharchenko+ 2013    ; 0.416;  9.085
Alessi 12                ; 2016DAML            ; 0.08 ;  8.10 
Alessi 12                ; 2017AstBu..72..257L ; 0.175;  8.377
Alessi 12                ; 2019 Bossini        ; 0.069;  8.089
Alessi 12                ; Kharchenko+ 2013    ; 0.079;  7.460
Alessi 13                ; Kharchenko+ 2013    ; 0.021;  8.720
Alessi 13                ; Gagne+ 2018         ;      ;  8.699
Alessi 137               ; 2020Alessi          ; 0.04 ;  8.36 
Alessi 14                ; Kharchenko+ 2013    ; 0.625;  8.600
Alessi 15                ; 2016DAML            ; 0.27 ;  9.25 
Alessi 15                ; Kharchenko+ 2013    ; 0.416;  9.190
Alessi 16                ; 2016DAML            ; 0.27 ;  9.05 
Alessi 16                ; Kharchenko+ 2013    ; 0.625;  8.650
Alessi 163 A             ; 2020Alessi          ;      ;  7.58 
Alessi 163 B             ; 2020Alessi          ;      ;  8.42 
Alessi 17                ; Kharchenko+ 2013    ; 0.437;  8.220
Alessi 18                ; 2016DAML            ; 0.645;  9.010
Alessi 18                ; Kharchenko+ 2013    ; 0.645;  9.010
Alessi 19                ; 2016DAML            ; 0.04 ;  8.00 
Alessi 19                ; 2017AstBu..72..257L ; 0.040;  8.000
Alessi 19                ; 2019 Bossini        ; 0.051;  7.380
Alessi 19                ; Kharchenko+ 2013    ; 0.040;  7.900
Alessi 2                 ; 2016DAML            ; 0.18 ;  8.50 
Alessi 2                 ; 2017AstBu..72..257L ; 0.309;  7.529
Alessi 2                 ; 2019 Bossini        ; 0.155;  8.759
Alessi 2                 ; Kharchenko+ 2013    ; 0.150;  8.698
Alessi 20                ; 2016DAML            ; 0.22 ;  6.48 
Alessi 20                ; 2017AstBu..72..257L ; 0.220;  6.480
Alessi 20                ; Kharchenko+ 2013    ; 0.381;  7.575
Alessi 204               ; 2020Alessi          ;      ;  8.46 
Alessi 21                ; 2016DAML            ; 0.07 ;  7.47 
Alessi 21                ; 2017AstBu..72..257L ; 0.104;  7.325
Alessi 21                ; 2019 Bossini        ; 0.080;  7.816
Alessi 21                ; Kharchenko+ 2013    ; 0.073;  7.700
Alessi 22                ; 2020Alessi          ; 0.16 ;  8.90 
Alessi 225               ; BDCC                ;      ;  7.33 
Alessi 24                ; 2016DAML            ; 0.10 ;  7.03 
Alessi 24                ; 2017AstBu..72..257L ; 0.100;  7.030
Alessi 24                ; 2019 Bossini        ; 0.109;  7.945
Alessi 24                ; BDCC                ; 0.25 ;  7.00 
Alessi 28                ; BDCC                ; 0.09 ;  8.70 
Alessi 3                 ; 2016DAML            ; 0.11 ;  8.70 
Alessi 3                 ; 2017AstBu..72..257L ; 0.098;  8.859
Alessi 3                 ; Kharchenko+ 2013    ; 0.110;  8.870
Alessi 4                 ; Kharchenko+ 2013    ; 0.479;  8.550
Alessi 5                 ; 2016DAML            ; 0.15 ;  7.60 
Alessi 5                 ; 2017AstBu..72..257L ; 0.150;  7.600
Alessi 5                 ; 2019 Bossini        ; 0.191;  7.723
Alessi 5                 ; Kharchenko+ 2013    ; 0.208;  7.765
Alessi 50                ; BDCC                ; 0.57 ;  9.10 
Alessi 52                ; 2016DAML            ; 1.08 ;  9.15 
Alessi 52                ; BDCC                ; 1.05 ;  9.15 
Alessi 53                ; 2016DAML            ; 0.80 ;  8.40 
Alessi 53                ; 2017AstBu..72..257L ; 0.655;  8.970
Alessi 53                ; Kharchenko+ 2013    ; 0.635;  7.000
Alessi 55                ; BDCC                ; 0.56 ;  8.37 
Alessi 56                ; 2016DAML            ; 2.00 ;       
Alessi 56                ; Kharchenko+ 2013    ; 2.186;  8.585
Alessi 57                ; 2016DAML            ; 2.11 ;       
Alessi 57                ; Kharchenko+ 2013    ; 1.874;  8.650
Alessi 58                ; BDCC                ; 0.50 ;  8.20 
Alessi 59                ; 2016DAML            ; 0.59 ;  7.6  
Alessi 59                ; 2017AstBu..72..257L ; 0.421;  8.240
Alessi 59                ; Kharchenko+ 2013    ; 0.770;  7.000
Alessi 6                 ; 2019 Bossini        ; 0.232;  8.777
Alessi 6                 ; Kharchenko+ 2013    ; 0.189;  8.320
Alessi 60                ; 2016DAML            ; 0.31 ;  8.40 
Alessi 60                ; 2017AstBu..72..257L ; 0.158;  8.740
Alessi 60                ; 2019 Bossini        ; 0.294;  8.338
Alessi 60                ; Kharchenko+ 2013    ; 0.208;  8.640
Alessi 62                ; 2016DAML            ; 0.167;  8.950
Alessi 62                ; 2017AstBu..72..257L ; 0.145;  9.050
Alessi 62                ; 2019 Bossini        ; 0.195;  8.964
Alessi 62                ; Kharchenko+ 2013    ; 0.167;  8.950
Alessi 64                ; BDCC                ; 1.00 ;  8.25 
Alessi 8                 ; 2016DAML            ; 0.09 ;  8.15 
Alessi 8                 ; 2019 Bossini        ; 0.103;  8.137
Alessi 8                 ; Kharchenko+ 2013    ; 0.090;  8.105
Alessi 81                ; BDCC                ; 0.02 ;  8.00 
Alessi 9                 ; Kharchenko+ 2013    ; 0.104;  8.550
Alessi 95                ; BDCC                ; 0.33 ;  8.20 
Alessi 96                ; BDCC                ; 0.27 ;       
Alessi 98                ; 2019 UPK            ;      ;  8.95 
Alessi 98                ; BDCC                ; 0.09 ;  9.00 
Alicante 1               ; 2016DAML            ; 0.67 ;  6.60 
Alicante 1               ; 2017AstBu..72..257L ; 0.409;  7.090
Alicante 1               ; Kharchenko+ 2013    ; 0.600;  6.350
Alicante 10              ; BDCC                ;      ;  6.30 
Alicante 2               ; 2016DAML            ; 1.249;  6.980
Alicante 2               ; 2017AstBu..72..257L ; 1.091;  7.165
Alicante 2               ; BDCC                ; 1.25 ;  6.98 
Alicante 7               ; BDCC                ;      ;  7.30 
Alicante 8               ; BDCC                ;      ;  7.26 
Andrews-Lindsay 1        ; 2019 Fragkou        ; 0.83 ;  8.82 
Andrews-Lindsay 1        ; BDCC                ; 0.63 ;  9.00 
Andrews-Lindsay 2        ; BDCC                ; 1.83 ;  9.00 
